account_id,system_question_category_id,content_question,meta_description,content_question_id,content_answer,privacy,parameterize_name
1,3,What is the procedure if I choose to de-register the vehicle myself?,A. For registered vehicles:  (i) Obtain a Transaction Pin (TPin) from LTA before the vehicle&#39;s de-registration date; ... read more answers,45,"Hi there, here\xe2\x80\x99s an updated step-by-step guide on how to deregister your vehicle via the LTA portal.  For Registered PARF Eligible Vehicle  If Disposal via Scrapyard/EPZ 1.Owner to drive/tow the vehicle to the Scrapyard/EPZ. 2.Owner to use the \xe2\x80\x98Deregister vehicle\xe2\x80\x99 function on One Motoring to deregister vehicle.  If Disposal via Export 1.\tOwner to use the \xe2\x80\x98Deregister vehicle\xe2\x80\x99 function on One Motoring to deregister vehicle. 2.\tOwner to Export Vehicle. 3.\tOwner to upload disposal documents within 1 month.  For Registered Non-PARF Eligible Vehicle  If Disposal via Scrapyard/EPZ, 1.\tOwner to use the \xe2\x80\x98Deregister vehicle\xe2\x80\x99 function on One Motoring to appoint self or 3rd-party to scrap the vehicle. 2.\tThe authorised person to send the deregistered vehicle to an LTA-authorised scrapyard within 5 calendar days. Original NRIC of the authorised person and payment for outstanding road tax and fees will also be required.  If Disposal via Export, 1.\tOwner to Export vehicle. 2.\tOwner to use the \xe2\x80\x98Deregister vehicle\xe2\x80\x99 function and upload the disposal documents accordingly on One Motoring.  For Deregistered PARF/Non-PARF Eligible Vehicle  If Disposal via Scrapyard/EPZ 1.\tNo change to current process 2.\tOwner to send vehicle to the Scrapyard/EPZ within 1 month.  If Disposal via Export 1.\tOwner to Export vehicle. 2.\tOwner to use the \xe2\x80\x98Deregister vehicle\xe2\x80\x99 function, select the mode that the vehicle was exported and upload the disposal documents accordingly on One Motoring.  For deregistration of vehicle, no hardcopy documents need to be sent to LTA.  Source: https://www.motorist.sg/article/310/lta-vehicle-ownership-transfer-and-deregistration-a-step-by-step-guide",1,scrap-export-car
1,4,How do I bid for a vehicle registration number?,Each bid must be made on Vehicle Registration Number Bid Form (R04) and Bid Envelope (R05) obtainable at the Reception ... read more answers,46,"Each bid must be made on Vehicle Registration Number Bid Form (R04) and Bid Envelope (R05) obtainable at the Reception Counter, LTA, Customer Service Centre, 10 Sin Ming Drive, Level 1, Singapore 575701.  The minimum bid amount is S$1,000/-. All offers shall be in multiples of $1/-. Payments must be made payable to Land Transport Authority or LTA in the form of Cashier's Order.  Enclose the completed form and the Cashier's Order in the envelope provided and deposit it into the tender box at LTA, Customer Service Centre, 10 Sin Ming Drive, Level 1, before the closing date and time. Once submitted, the bid application cannot be withdrawn or cancelled.  Each application form submitted is for one vehicle registration number only. If you wish to bid for more than one vehicle registration number, you need to submit separate bid applications.  If you submit more than one application form and your bid applications are successful, the successful bid registration numbers will be assigned to you for registration of your new vehicles or to replace the registration number of your existing vehicles.  Source: http://www.onemotoring.com.sg/publish/onemotoring/en/lta_information_guidelines/buy_a_new_vehicle/bid_number.html",1,general
1,4,How to convert from OPC to Normal Plate Scheme?,Step 1: Get the total conversion fees and new road tax from www.onemotoring.com.sg  (Under Quick Access &gt; LTAe-Service... read more answers,47,"Step 1: Get the total conversion fees and new road tax from www.onemotoring.com.sg  (Under Quick Access > LTAe-Services (non-login) > Maintain A Vehicle > OPC/WEC Conversion Fees)  Step 2: Submit to the LTA: \xe2\x80\xa2\t Completed Application Form R10 \xe2\x80\x93 Application for Conversion of Off-Peak Car (OPC) / Weekend Car (WEC) / Normal Car; \xe2\x80\xa2\t Original road tax disc of the car; \xe2\x80\xa2 \t Original periodic inspection certificate (if applicable); \xe2\x80\xa2 \t Original certificate for motor insurance, covering the full period of road tax; \xe2\x80\xa2\t Original identity document* of the individual owner. (If the owner is a company or a business, the original ACRA printout valid up to 14 days from the date of issue and the original identity document* of the authorised person from the company or business must be produced); \xe2\x80\xa2\t Original identity document* of the authorised representative if the registered vehicle owner/authorised person is not present at the time of application; and  OPC / revised OPC converting to Normal Car scheme: i)\t Administrative fee of $100; ii)\t New road tax payable under the Normal Car scheme;",1,general
1,4,How to calculate PARF value?,The PARF rebate is computed based on the age of the car at de-registration . The age of the car is computed from the da... read more answers,48,"The PARF rebate is computed based on the age of the car at de-registration . The age of the car is computed from the date of its registration in Singapore or its original registration in a foreign country, whichever is earlier. Imported used car registered in Singapore before 1 September 2007 is not eligible for PARF rebate.",1,general
1,1,Can i authorise a friend or family to sell my vehicle while i'm overseas?,"Yes you can authorise a family member or a friend to sell your vehicle on behalf, however there is a few of things to t... read more answers",49,"Yes you can authorise a family member or a friend to sell your vehicle on behalf, however there is a few of things to take note of.  1. Ensure that you have obtained the Transaction-Pin from LTA before you leave the country and hand to the person authorised to assist in the sale. If not you can also request for the Transaction-Pin from www.onemotoring.com.sg and it will be delivered to your residential address.  2. Completed/Signed ""Application Form For Transfer Of Vehicle (M01)"". You can locate the form in the following link: http://www.onemotoring.com.sg/publish/onemotoring/en/lta_information_guidelines/forms_download0.MainPar.15985.collapsePar.67710.File.tmp/M01.pdf  3. Lastly you are required to get a ""Power of Attorney"" Letter to authorise the person to act on your behalf. Sample letter can be found in the following link: http://www.onemotoring.com.sg/publish/onemotoring/en/lta_information_guidelines/transaction_pin/documents_for_transaction/annex_a_and_b.MainPar.50139.collapsePar.20903.File.tmp/Sample_POA.pdf  Do note that the above is not applicable to a Company\'s Car. Different documentations will be required.",1,sell-car
1,4,If my vehicle is register under 'Off Peak Car' will I still get my 'OPC' rebate after selling off my vehicle?,An existing owner who converts his existing Normal Car to the ROPC is entitled to:  1. Flat discount of up to S$500 o... read more answers,50,"An existing owner who converts his existing Normal Car to the ROPC is entitled to:  1. Flat discount of up to S$500 on annual road tax, subject to a minimum road tax payment of S$70 per year. 2. Up to S$1,100 OPC cash rebate for every 6 months the car remains as a ROPC until the car reaches 10 years old. An administrative fee of S$100 is payable for the conversion.  \xc2\xb9To enjoy the OPC cash rebate, the car must be kept as an OPC under the ROPC Scheme for at least 6 months after its conversion, except in cases of deregistration or when the car under the ROPC Scheme reaches the age of 10 years. No OPC cash rebate will be given for the period when the car is laid up.  However if you were to sell off your car, the rebates will be transferred to the new owner who purchased your vehicle.",1,general
1,7,"What will happen when i pass through an operational ERP gantry without a properly inserted CashCard in the IU, or one with insufficient monetary value in the CashCard?",You will receive a letter within a few days of the violation. You must pay the ERP charge plus an administrative fee of... read more answers,51,"You will receive a letter within a few days of the violation. You must pay the ERP charge plus an administrative fee of S$10 within two weeks from the date of the letter. The administrative fee is reduced to $8 if payment is made electronically via the following channels:  LTA's ONE.MOTORING website (https://onepay.onemotoring.com.sg/onepay/erp/getRecord.do) AXS stations Self-service Automated Machines (SAMs) at post offices vPost Automated teller machines Internet banking services  You may also drop by the LTA office at 10 Sin Ming Drive, Singapore 575701 or mail us a cheque at Singapore Post Centre Post Office, P.O. Box 491, Singapore 914017 quoting the vehicle number and notice number on the reverse of the cheque.",1,on-the-road
1,3,Will i be entitled to any rebates if i intend to scrap my car in 2-3 years time after renewing my COE?,"If a vehicle is de-registered before expiry of its COE, the registered owner may be granted a rebate based on the Preva... read more answers",52,"If a vehicle is de-registered before expiry of its COE, the registered owner may be granted a rebate based on the Prevailing Quota Premium (PQP), which he has paid, pro-rated to the number of months and days remaining on his vehicle's COE. Please note that your vehicle's PARF value has already been forfeited.",1,scrap-export-car
1,4,What is the LTA Transaction Pin?,"From 26 November 2018 onwards, the Land Transport Authority (LTA) will be doing away with Transactions Pins (TPINs) for... read more answers",53,"A Transaction PIN is an alphanumeric password that is required when you perform the following transactions via e-Services @ ONE.MOTORING on your own or through an Electronic Service Agent (ESA). An ESA is a motor dealer, scrapyard or export processing zone operator, or road tax collection centre that you authorises to submit transactions on your behalf to LTA :  - Transfer a Temporary Certificate of Entitlement (TCOE) of a transferable COE Category i.e. Category C or E, in the name of an individual; - Transfer Vehicle Ownership; - Transfer a Preferential Additional Registration Fee (PARF) or COE Rebate; - Divide a PARF or COE Rebate into smaller amounts; - De-register a Vehicle.",1,general
1,4,What is the LTA Transaction Pin?,"From 26 November 2018 onwards, the Land Transport Authority (LTA) will be doing away with Transactions Pins (TPINs) for... read more answers",53,"From 26 November 2018 onwards, the Land Transport Authority (LTA) will be doing away with Transactions Pins (TPINs) for the following LTA vehicle-related transactions: Transfer of Vehicle Ownership, Transfer of TCOE, Transfer of Rebate, and the Deregistration of Vehicle.  Now, instead of the TPIN, vehicle owners and businesses will need to use their SingPass 2FA to confirm and complete these transactions.  https://www.motorist.sg/article/310/lta-singpass-vehicle-transfer-and-deregistration-a-step-by-step-guide  Above is a comprehensive step-by-step article on how to perform LTA vehicle-related transactions with your SingPass.",1,general
1,4,What is an Electronic Day Licence? And how to purchase it?,A Valid Day Licence is required when a ROPC/OPC/WEC vehicle is driven on the roads during restricted hours.  Each e-D... read more answers,54,A Valid Day Licence is required when a ROPC/OPC/WEC vehicle is driven on the roads during restricted hours.  Each e-Day Licence costs S$20 and is only valid for the day.  You are required to purchase an E-Day License within 24hrs of the day you drive.   You can buy e-Day Licence from: - ONE.MOTORING (https://vrl.lta.gov.sg/lta/vrl/action/pubfunc?ID=BuyEDayLicence) - AXS Stations - AXS m-Station - iNETS Kiosks - Singapore Post outlets - Automobile Association of Singapore,1,general
1,4,How do i transfer my season parking to a temporary vehicle if my car is in the workshop?,Step 1: Log-in to &quot;My HDBPage&quot; using your Singpass from this link https://services2.hdb.gov.sg/webapp/SX05AWSPCP/SX05PS... read more answers,55,"Step 1: Log-in to ""My HDBPage"" using your Singpass from this link https://services2.hdb.gov.sg/webapp/SX05AWSPCP/SX05PSPCPLogin.jsp  Step 2: On the left menu click on ""My Vehicle"" then ""Season Parking""  Step 3: Click on ""Temporary Season Parking"" then ""Application for Temporary Change of Vehicle""   Step 4: Input details and confirm.",1,general
1,3,"Does Motorist.sg provide service such as delivering my car to the scrapyard from my place as well as handling all the administrative documentation? If yes, how can i arrange for this?","Hi Alfred, this is part of the many benefits of using our &quot;Scrap Car&quot; service. You can get started by posting your enqu... read more answers",56,"Hi Alfred, this is part of the many benefits of using our ""Scrap Car"" service. You can get started by posting your enquiry at www.motorist.sg/scrap-export-car. Our consultants will be in touch with you shortly to guide you through the entire process.",1,scrap-export-car
1,1,Can I sell a brand new car that i have won in a lucky draw?,Yes. You can sell the car that you won in a lucky draw. We can assist to get a quote for you via www.motorist.sg/sell-c... read more answers,60,"Yes. You can sell the car that you won in a lucky draw. We can assist to get a quote for you via www.motorist.sg/sell-car. Under the vehicle number field, simply indicate the make & model.",1,sell-car
1,1,Can I handover my car if I still have outstanding fine or penalty fee?,LTA will not approve any transferring of vehicle if there is an outstanding fine or penalty fee. On standard purchase a... read more answers,61,"LTA will not approve any transferring of vehicle if there is an outstanding fine or penalty fee. On standard purchase agreement, all fine or penalty fee prior to the handover datetime will be bare by the owner.",1,sell-car
1,4,How to get COE number?,"1. Go to http://www.onemotoring.com.sg, on the top menu, click on &quot;Log In&quot;, then &quot;Singpass&quot;  2. Once you have login wi... read more answers",62,"1. Go to http://www.onemotoring.com.sg, on the top menu, click on ""Log In"", then ""Singpass""  2. Once you have login with your Singpass, on the top menu click on ""Vehicle Hub"", then ""Enquire asset info"" 3. Select ""Vehicle"" under Asset Type and input Vehicle No, then click ""Details""",1,general
1,3,I want to export my car overseas for my own use. How do I do it and what are the fees?,This question is too general and we are unable to advise the fees involved.  We need to know the following : 1. Whic... read more answers,64,"This question is too general and we are unable to advise the fees involved.  We need to know the following : 1. Which country and the exact port of discharge 2. What type of vehicle and the time of shipment, as the freight will vary during different time of the year 3. The mode of transport: If by sea, depending on port of discharge, whether we are going to ship in a 20ft container or by RORO. There could be cases where luxury cars have also been shipped by air.  These are just a few general questions that needs to be answered before we can proceed further. Contact us at enquiry@motorist.sg for a more detailed quote.",1,scrap-export-car
1,4,How do i apply for a LTA transaction pin for a private limited company?,"From 26 November 2018 onwards, the Land Transport Authority (LTA) will be doing away with Transactions Pins (TPINs) for... read more answers",66,"To apply for the pin, proceed to LTA office at 10 Sin Ming Drive Singapore 575701 with the required documents as per listed below.  Types of Identification Documents required 1. Latest ACRA Printout (must be valid up to 14 days from the date of issue by ACRA) 2. Board Resolution signed by the relevant Officers in accordance with the Memorandum & Article of company 3. Original NRIC or Passport of authorised person 4. Original NRIC or Passport of a third party submitting the application for authorised person  Sample - Board Resolution http://www.onemotoring.com.sg/publish/onemotoring/en/lta_information_guidelines/transaction_pin/documents_for_transaction/annex_a_and_b.MainPar.50139.collapsePar.84110.File.tmp/Sample_Board_Resolution.pdf",1,general
1,4,How do i apply for a LTA transaction pin for a private limited company?,"From 26 November 2018 onwards, the Land Transport Authority (LTA) will be doing away with Transactions Pins (TPINs) for... read more answers",66,"From 26 November 2018 onwards, the Land Transport Authority (LTA) will be doing away with Transactions Pins (TPINs) for the following LTA vehicle-related transactions: Transfer of Vehicle Ownership, Transfer of TCOE, Transfer of Rebate, and the Deregistration of Vehicle.  Now, instead of the TPIN, vehicle owners and businesses will need to use their SingPass/CorpPass 2FA to confirm and complete these transactions.  www.motorist.sg/article/310/lta-singpass-vehicle-transfer-and-deregistration-a-step-by-step-guide  Above is a comprehensive step-by-step article on how to perform LTA vehicle-related transactions with your SingPass/CorpPass.",1,general
1,11,Wish to know all the features of the remote control of 2007 Toyota Camry,Click on the follow link for the 2007 Camry: Keys and Doors Manual http://www.toyota.com/t3Portal/document/om/OM33748U/pdf/01_02.pdf,67,Click on the follow link for the 2007 Camry: Keys and Doors Manual http://www.toyota.com/t3Portal/document/om/OM33748U/pdf/01_02.pdf,1,car-accessories
1,11,Wish to know all the features of the remote control of 2007 Toyota Camry,Click on the follow link for the 2007 Camry: Keys and Doors Manual http://www.toyota.com/t3Portal/document/om/OM33748U/pdf/01_02.pdf,67,"Hi Thomas, i am not sure about 07 model but for 08 model. Try long press the lock or unlock button. Long press unlock button will unwind the window. Long press lock button will wind up the window. Take note that its all 4 windows.",1,car-accessories
1,4,How to retain my vehicle number plate to another vehicle which is not registered under my name?,Both party A &amp; B needs to head down to LTA @ Sin Ming  1. A transfer vehicle C to B. $11 transfer fee 2. B retains v... read more answers,68,Both party A & B need to head down to LTA @ Sin Ming  1. A transfer vehicle C to B. $11 transfer fee 2. B retains vehicle's C carplate and place on vehicle D. $1300 admin fee 3. B transfer vehicle C back to A. $11 transfer fee  Note: Vehicle C will have additional 2 transfer count,1,general
1,5,The car owner is under name A. Can the car insurance be under name B?,"If A has no license, insurance premium will be quoted under B profile. But A is still the policy holder.",69,"If A has no license, insurance premium will be quoted under B profile. But A is still the policy holder.",1,car-insurance
1,3,Should I scrap my car or renew COE?,"Depreciation Before you consider renewing your car, there are a few things you have to take note of. When you renew yo... read more answers",70,"Depreciation Before you consider renewing your car, there are a few things you have to take note of. When you renew your COE at the end of the 10 year cycle, you will also lose your Preferential Additional Registration Fee (PARF) rebate. You can factor this in to your vehicle's depreciation like this (PARF Value + Prevailing Quota Premium) / Number of Years of New COE Period  Wear and Tear Before you decide to invest in another 5 to 10 years with your car, make sure it can live through it first! You car would undoubtedly have its fair share of wear and tear, and one important indicator would be it's mileage. Singaporean cars usually run through an average of 20,000km per year. At the end of their COE term, it should amount to about 200,000km. That's considered high! You probably need to replace parts to help you car run smoothly, or to run at all. Head to your mechanic to find out what you need to change!",1,scrap-export-car
1,1,"I just sold my car to a car dealer from a company under CaseTrust and SVTA. He gave me the balance payment, took my car and transaction fee, and I had them write on the purchase agreement that they need to settle my car loan before/on the 8th of June 2016. If he does not do it by then, where do I go to seek legal action? Should I go to the police, the LTA, or should I report it at Case Trust Singapore?",What is the full settlement date they use to check with bank? There is no need to be alarmed. Usually dealers will do s... read more answers,71,What is the full settlement date they use to check with bank? There is no need to be alarmed. Usually dealers will do settlement in 2 weeks. Also don't worry because dealer will not be able to transfer your car to their company if they did not full settle the car,1,sell-car
1,2,"I\xe2\x80\x99m buying a used car from a car dealer. After applying for a loan from the bank and paying the cashier order to the car dealer, how do I ensure that the used car is really under my name? Also, what are the basic \xe2\x80\x98must-have\xe2\x80\x99 documents that I should obtain from them to ensure that I can hold them accountable if the deal falls through.",You can ask the dealer to transfer the car to you on the spot when you pass him the cashier order upon collection. Car ... read more answers,72,"You can ask the dealer to transfer the car to you on the spot when you pass him the cashier order upon collection. Car loan will not be disbursed to the dealer if car is not transferred. There is not much documents when purchasing, just make sure the sales agreement is documented properly.",1,buy-car
